Study ID,S Incu No,Incubator type,Set Incu temp,Incubator humidity 1,Incubator humidity 2,Incubator humidity 3,Incubator humidity 4,Incubator humidity 5,Incubator humidity 6,Incubator humidity 7,Incubator humidity 8,Incubator humidity 9,Incubator humidity 10,Incubator humidity 11,Incubator humidity 12,Incubator humidity 13,Incubator humidity 14,Incubator humidity 15,Incubator humidity 16,Incubator humidity 17,Incubator humidity 18,Incubator humidity 19,Incubator humidity 20
148,BBW,2,33,68,62,62,62,54,56,62,56,62,59,65,47,59,57,65,71,57,68,56,50
201,AA,1,34,50,52,50,51,47,52,51,56,52,51,56,52,57,68,68,52,34,59,60,60
202,BB,2,34.5,72,62,64,62,62,56,62,62,56,61,46,42,46,56,52,46,56,56,46,57
203,BC,2,35,30,45,52,56,55,52,45,52,55,56,50,57,55,57,52,55,53,50,52,51
204,AB,1,33,37,42,45,40,37,30,35,34,42,46,16,39,50,51,50,53,54,53,52,51
205,BD,2,34.5,40,44,50,38,32,41,36,29,33,30,30,30,62,54,56,62,56,62,59,65
206,AE,1,33.5,52,52,53,49,48,56,55,59,56,50,42,47,40,33,34,34,40,32,36,31
207,AG,1,33,37,41,52,36,30,30,39,38,28,28,29,28,62,62,56,62,62,56,61,46
208,BH,2,34.5,33,45,48,56,55,56,48,51,56,52,50,56,52,27,27,31,31,31,31,32
209,AI,1,34,42,45,40,37,30,35,34,42,46,46,39,56,54,59,57,65,71,57,68,56
210,BJ,2,34,37,42,45,40,37,30,35,34,42,46,56,39,51,47,52,51,56,52,51,56
211,AO,1,32.5,52,53,49,48,56,55,59,56,50,42,47,46,56,46,56,52,46,56,56,46
212,BN,2,34,45,52,56,55,52,45,52,55,56,50,57,30,44,36,34,46,44,56,44,56
213,BO,2,33,45,48,56,55,56,48,51,56,52,50,56,45,44,50,51,50,53,54,53,52
214,AR,1,33,44,50,38,32,41,36,29,33,30,30,30,57,56,57,68,68,52,34,59,60
215,BR,2,34,42,45,40,37,30,35,34,42,46,56,39,32,36,40,33,34,34,40,32,36
216,AQ,1,33.5,41,52,36,30,30,39,38,28,28,29,28,61,59,55,57,52,55,53,50,52
217,BT,2,33.5,44,51,44,54,52,41,52,56,54,50,52,37,30,52,27,27,31,31,31,31
218,AS,1,33,44,48,44,47,48,36,49,52,39,44,48,62,62,62,54,56,62,56,62,59
219,BU,2,33,58,61,61,54,51,50,61,60,59,65,61,67,68,67,63,66,67,70,70,67
220,AU,1,32.5,61,60,60,60,60,51,62,66,62,64,58,52,64,62,65,66,65,69,77,65
221,AV,1,33,56,65,65,65,65,64,66,64,62,63,64,60,36,35,34,37,34,34,42,37
222,AX,1,32,57,65,64,62,64,64,65,64,59,61,62,61,54,54,54,59,62,60,61,59
223,BV,2,34.5,54,54,64,66,64,59,57,62,64,61,66,59,66,69,66,64,64,62,66,69
224,BX,2,33.5,62,60,60,63,67,67,66,64,65,62,67,66,68,69,69,66,67,72,70,72
225,AY,1,33.5,31,40,35,36,31,36,31,32,34,37,33,39,37,34,36,41,40,50,55,24
226,BY,2,33.5,36,36,37,39,36,39,35,34,42,37,34,34,54,51,54,60,59,59,57,57
227,BBB,2,34.5,62,78,63,52,61,60,62,64,65,64,63,63,43,49,45,31,32,44,33,35
228,AAB,1,32.5,68,63,61,62,62,63,64,62,60,54,57,60,29,27,28,29,30,42,35,35
229,BBC,2,34,76,72,62,62,62,65,67,67,66,63,62,45,56,50,42,41,42,40,45,36
230,AAC,1,33,62,61,71,59,56,57,60,59,58,60,57,55,43,30,27,28,28,36,39,30
231,AAD,1,33,36,39,42,39,37,41,42,55,51,42,42,40,40,34,31,32,33,36,41,36
232,BBD,2,34,40,37,36,30,29,35,30,48,51,32,30,31,37,30,41,55,33,42,34,32
233,AAG,1,34,66,75,74,74,72,78,67,41,75,74,70,74,45,37,37,33,39,37,45,40
234,BBF,2,34.5,68,72,71,73,72,68,62,67,70,72,72,72,39,30,24,39,37,41,33,31
235,AAI,1,33,58,61,61,54,51,50,61,60,59,65,61,67,55,56,54,54,51,51,55,54
236,BBI,2,33.5,65,67,76,66,60,62,66,56,66,64,60,62,40,44,32,34,34,32,40,32
237,BBK,2,34.5,62,60,60,63,67,67,66,64,65,62,67,66,35,41,40,36,46,41,38,36
238,AAJ,1,33,54,54,64,66,64,59,57,62,64,61,66,59,40,40,38,39,37,42,39,44
239,BBL,2,35,57,65,64,62,64,64,65,64,59,61,62,61,37,46,40,40,39,40,39,39
240,AAL,1,33,56,65,65,65,65,64,66,64,62,63,64,60,33,48,39,35,35,36,42,34
241,BBM,2,34,31,40,35,36,31,36,31,32,34,37,33,39,37,38,37,45,36,38,38,36
242,AAM,1,34,36,36,37,39,36,39,35,34,42,37,34,34,67,68,57,57,59,57,66,65
243,BBN,2,34.5,62,78,63,52,61,60,62,64,65,64,63,63,72,76,63,59,59,69,70,70
244,AAN,1,32.5,68,63,61,62,62,63,64,62,60,54,57,60,67,64,60,65,65,65,67,60
245,AAO,1,33,40,37,36,30,29,35,30,48,51,32,30,31,61,62,67,68,68,69,71,73
246,AAV,1,33,39,42,39,37,41,42,55,51,42,42,40,72,73,77,73,69,64,78,78,50
247,BBT,2,34,62,61,71,59,56,57,60,59,58,60,57,55,40,45,37,35,37,35,35,38
248,BBV,2,34,76,72,62,62,62,65,67,67,66,63,62,45,42,41,41,51,62,44,39,32
